Condition,Cylinder heating zone 1,Cylinder heating zone 4,Maximum injection pressure,Mould temperature control unit 1,Cycle time,Cylinder heating zone 5,Injection time,Cylinder heating zone 2,Dosage time,Cylinder heating zone 3,Switch-over volume,Material cushion
4,283.01,298.14,1634.76,88.5,28.284,317.13,0.23,288.42,2.89,305.71,1.26027,0.861631
4,273.96,307.61,1677.75,86.84,27.594,304.82,0.23,309.43,2.916,313.59,1.43027,0.891631
4,270.49,323.39,1537.77,94.35,29.842,305.93,0.24,302.97,2.726,311.4387179,1.50027,0.860498
4,276.76,310.6610256,1687.83,92.52,28.942,315.1,0.25,296.54,2.832,298.99,1.42027,0.821631
4,285.88,310.32,1646.37,90.26,28.784,310.19,0.25,301.68,2.734,318.8,1.41027,0.892763
4,289.46,307.39,1588.94,90.1,29.704,310.48,0.24,299.32,2.904,296.44,1.37027,0.841631
4,282.51,311.98,1654.97,90.81,27.582,325.39,0.23,306.22,2.884512821,294.97,1.363427895,0.861631
4,291.02,323.5,1579.08,89.22,29.164,315.71,0.24025641,280.67,2.794,300.33,1.36027,0.881631
4,277.18,299.33,1633.86,94.19,28.064,322.97,0.23,286.46,2.91,322.31,1.35027,0.883896
4,280.6461538,296.44,1558.78,85.63,29.612,326.65,0.24,290.81,2.758,318.4,1.49027,0.831631
4,284.11,321.51,1682.94,90.05333333,30.21,329.21,0.23,301.61,2.964,301.23,1.23027,0.862763
4,287.38,313.03,1624.23,91.83,28.51,319.8,0.23,295.5,2.958,299.06,1.42027,0.810498
3,277.41,299.36,1538.18,94.39,27.776,330.25,0.228,282.61,2.984,303.72,1.7151,1.10774
3,291.71,315.45,1494.49,89.29,29.58,314.18,0.218,288.59,2.804,320.16,1.63397,1.01642
3,286.67,309.6040541,1548.26,87.57,28.93,321.27,0.228,283.62,2.996,313.6,1.44397,1.07982
3,278.76,301.11,1541.991842,88.47,28.238,313.8473684,0.228,289.72,2.948,314.22,1.73397,1.06736
3,276.11,309.53,1556.7,88.46,28.91,300.92,0.218,308.46,2.878,314.64,1.7751,1.07056
3,274.77,320.73,1657.68,91.81,28.52,303.62,0.218,283.99,2.806,313.68,1.4851,1.05492
3,282.04,304.19,1544.49,92.58,29.07289474,306.03,0.218,288.17,3.006,312.46,1.696402368,1.03717
3,278.43,303.8,1523.93,92.07,28.948,317.4,0.238,306.56,3.042,310.3328947,1.8151,1.08926
3,278.15,309.64,1527.66,94.18,29.89,328.81,0.218,296.0831579,2.869157895,294.9,1.82397,0.99943
3,279.1097368,312.77,1588.61,91.27,29.27,311.22,0.228,294.44,2.926,320.92,1.69397,1.06717
3,273.63,315.94,1594.03,86.14,28.77,324.7,0.218,307.88,2.816,300.26,1.74397,0.99717
3,268.58,307.99,1499.98,92.94,30.09,310.96,0.218,301.06,2.748,314.29,1.79397,1.043060789
3,281.33,315.64,1517.3,86.08,28.048,311.72,0.228,298.38,2.878,312.26,1.6351,1.0617
3,270.3,313.15,1635.75,92.44,28.036,303.85,0.228,300.97,2.716,302.68,1.7051,1.0717
3,280.13,308.99,1533.17,85.65,28.36,320.36,0.225105263,307.21,2.78,307.02,1.696402368,1.03039
3,293.12,295.5,1523.77,92.26,29.96,302.24,0.228,289.98,2.8,298.18,1.70397,1.0683
3,275.75,322.46,1544.79,94.18,30.114,307.15,0.228,291.57,2.808,322.6,1.8751,1.06567
3,280.93,322.01,1480.22,92.01,27.59,305.41,0.218,285.92,2.85,310.3328947,1.67397,1.05962
3,270.93,315.8,1595.75,85.51,29.908,312.52,0.218,289.19,2.869157895,325.34,1.6151,1.01962
3,266.28,317.5,1486.64,94.6,28.128,301.22,0.218,292.49,2.998,305.78,1.84397,0.9783
3,268.71,295.96,1493.11,90.20026316,29.668,306.79,0.228,291.58,2.888,300.96,1.71397,1.0783
3,266.89,310.31,1591.72,93.9,27.634,320.77,0.238,280.64,2.988,298.26,1.59397,1.0283
3,268.05,303.57,1529.63,87.45,29.974,313.8473684,0.238,296.0831579,2.854,309.6,1.53397,1.06509
3,280.26,318.1,1582.16,89.41,29.592,321.38,0.218,308.82,2.904,324.11,1.43397,1.01529
3,291.03,309.6040541,1584.9,91.31,29.232,327.04,0.218,306.24,2.704,298.38,1.92397,1.05056
3,283.76,316.47,1541.991842,91.38,29.95,299.81,0.228,306.93,2.76,319.94,1.5851,1.13379
3,282.8,297.06,1589.84,86.33,28.862,315.06,0.228,305.16,2.828,305.88,1.81397,0.98056
3,288.05,321.89,1538.78,92.2,29.862,315.06,0.218,297.09,2.798,321.95,1.64397,1.01509
3,278.7,310.45,1467.85,89.47,27.902,314.17,0.218,295.75,2.902,302.79,1.66397,1.06114
3,277.1,296.17,1492.9,86.78,28.132,317.74,0.225105263,290.52,2.966,302.99,1.69397,0.98509
3,279.1097368,300.85,1584.85,88.11,30.062,306.16,0.228,293.77,2.886,311.73,1.61397,1.00509
3,291.52,305.94,1487.1,91.65,29.07289474,312.87,0.218,285.38,2.926,311.36,1.83397,1.043060789
3,277.26,321.52,1501.26,87.76,28.54,300.21,0.238,288.68,2.862,315.26,1.7151,1.03529
3,287.88,305.86,1536.66,90.20026316,29.138,324.12,0.218,305.42,2.858,314.15,1.6051,1.11454
3,269.64,296.76,1516.8,92.6,29.088,306.46,0.218,305.72,2.722,316.8,1.72397,1.03868
3,287.71,315.92,1609.08,91.61,29.406,325.23,0.228,303.94,2.824,308.7,1.68397,1.03415
3,277.99,309.6040541,1535.26,88.95,29.768,313.96,0.238,297.07,2.896,322.4,1.60397,0.99189
3,268.84,311.97,1526.63,91.04,29.418,322.4,0.228,300.23,2.916,295.28,1.87397,1.07189
3,288.93,304.01,1475.82,89.96,29.208,320.37,0.238,309.84,3.016,313.65,1.63397,0.99529
3,286.02,310.98,1559.94,85.8,30.268,322.77,0.228,287.57,2.746,301.75,1.86397,0.99396
